isbn,category,title,author,publisher,createDateTime
1 ,총류,핵심정리 PD 되기,홍경수,커뮤니케이션북스,2019-11-27T15:33:36.686+0000
2 ,총류,"언론고시, 하우 투 패스",이현택,커뮤니케이션북스,2019-11-27T15:33:36.686+0000
3 ,예술,필름메이커의 눈,구스타보 메르카도,비즈앤비즈,2019-11-27T15:33:36.686+0000
4 ,문학,김동인 단편전집 1,김동인,가람기획,2019-11-27T15:33:36.686+0000
5 ,문학,무진기행,김승옥,문학동네,2019-11-27T15:33:36.686+0000
6 ,문학,김수영 전집 1,김수영,민음사,2019-11-27T15:33:36.686+0000
7 ,예술,고전음악의 이해,"허영한, 이석원",심설당,2019-11-27T15:33:36.686+0000
8 ,사회과학,신 법학통론,최완진,세창출판사,2019-11-27T15:33:36.686+0000
9 ,문학,기호학이란 무엇인가,김경용 지음,민음사,2019-11-27T15:33:36.686+0000
10 ,문학,21세기 문예이론,김성곤,문학사상사,2019-11-27T15:33:36.686+0000
11 ,철학,법의 정신,몽테스키외,홍신문화사,2019-11-27T15:33:36.686+0000
12 ,문학,괴물들이 사는 나라,모리스 샌닥,시공주니어,2019-11-27T15:33:36.686+0000
13 ,사회과학,현대 인문지리,제임스 루벤스타인,시그마프레스,2019-11-27T15:33:36.686+0000
14 ,사회과학,글로벌시대의 무역개론,구종순,박영사,2019-11-27T15:33:36.686+0000
15 ,사회과학,소비자행동,"이학식, 안광호, 하영원",집현재,2019-11-27T15:33:36.686+0000
16 ,사회과학,엣센셜 기업재무,Stephen A. Ross,한국맥그로힐,2019-11-27T15:33:36.686+0000
17 ,사회과학,왜 세계의 절반은 굶주리는가?,장 지글러,갈라파고스,2019-11-27T15:33:36.686+0000
18 ,사회과학,경청,"조신영, 박현찬",위즈덤하우스,2019-11-27T15:33:36.686+0000
19 ,문학,여행의 기술,알랭 드 보통,청미래,2019-11-27T15:33:36.686+0000
20 ,문학,고도를 기다리며,사무엘 베케트,민음사,2019-11-27T15:33:36.686+0000
21 ,문학,장진 희곡집,장진,열음사,2019-11-27T15:33:36.686+0000
22 ,철학,하루에 떠나는 철학여행,김영범,페퍼민트(숨비소리),2019-11-27T15:33:36.686+0000
23 ,사회과학,과학적 관리의 원칙,프레드릭 윈즐로 테일러,박영사,2019-11-27T15:33:36.686+0000
24 ,역사,서양 문명의 역사 (상/하),에드워드 맥널 번즈,소나무,2019-11-27T15:33:36.686+0000
25 ,역사,역사를 보는 눈,호리고메 요조,개마고원,2019-11-27T15:33:36.686+0000
26 ,철학,미학의 역사,미학대계간행회,서울대학교출판부,2019-11-27T15:33:36.686+0000
27 ,문학,햄릿,윌리엄 셰익스피어,열린책들,2019-11-27T15:33:36.686+0000
28 ,철학,성학집요,이이,청어람미디어,2019-11-27T15:33:36.686+0000
29 ,철학,논어,공자,홍익출판사,2019-11-27T15:33:36.686+0000
30 ,문학,호밀밭의 파수꾼,J. D. 샐린저,민음사,2019-11-27T15:33:36.686+0000
31 ,문학,동물농장,조지 오웰,민음사,2019-11-27T15:33:36.686+0000
32 ,문학,기탄잘리,라빈드라나드 타고르,열린책들,2019-11-27T15:33:36.686+0000
33 ,총류,리딩으로 리드하라,이지성,문학동네,2019-11-27T15:33:36.686+0000
34 ,철학,소피의 세계,요슈타인 가아더,현암사,2019-11-27T15:33:36.686+0000
35 ,철학,국가·정체(政體),플라톤 (박종현 옮김),서광사,2019-11-27T15:33:36.686+0000
36 ,문학,설국열차,장 마르크 로셰트,현실문화,2019-11-27T15:33:36.686+0000
37 ,철학,무소유,법정,범우사,2019-11-27T15:33:36.686+0000
38 ,철학,서양 철학사,S. P. 램프레히트,을유문화사,2019-11-27T15:33:36.686+0000
39 ,총류,오체 불만족,오토다케 히로타다,창해,2019-11-27T15:33:36.686+0000
40 ,문학,빅 픽처,더글라스 케네디,밝은세상,2019-11-27T15:33:36.686+0000
41 ,역사,역사는 누구의 편에 서는가,아이리스 장,미다스북스,2019-11-27T15:33:36.686+0000
42 ,역사,아틀라스 한국사,한국교원대학교 역사교육과,사계절,2019-11-27T15:33:36.686+0000
43 ,역사,한국사통론,변태섭,삼영사,2019-11-27T15:33:36.686+0000
44 ,문학,죽음의 수용소에서,빅터 프랭클,청아출판사,2019-11-27T15:33:36.686+0000
45 ,문학,나무,베르나르 베르베르,열린책들,2019-11-27T15:33:36.686+0000
46 ,문학,개천은 용의 홈타운,최정례,창비,2019-11-27T15:33:36.686+0000
47 ,문학,죽은 자가 무슨 말을,필립 K. 딕,집사재,2019-11-27T15:33:36.686+0000
48 ,문학,바보 빅터,호아킴 데 포사다,한국경제신문,2019-11-27T15:33:36.686+0000
49 ,철학,정의란 무엇인가,마이클 샌델,김영사,2019-11-27T15:33:36.686+0000
50 ,철학,철학의 문제들,버트란드 러셀,이학사,2019-11-27T15:33:36.686+0000
51 ,철학,철학의 근본문제에 관한 10가지 성찰,나이절 워버턴,자작나무,2019-11-27T15:33:36.686+0000
52 ,철학,서양근대철학의 열가지 쟁점,서양근대철학회,창비,2019-11-27T15:33:36.686+0000
53 ,문학,이강백 희곡전집 1,이강백,평민사,2019-11-27T15:33:36.686+0000
54 ,예술,액팅 원,로버트 코헨,경당,2019-12-27T15:33:36.686+0000
55 ,문학,브람스를 좋아하세요…,프랑수아즈 사강,민음사,2019-12-27T15:33:36.686+0000
56 ,사회과학,전태일 평전,조영래,아름다운전태일,2019-12-27T15:33:36.686+0000
57 ,사회과학,스님의 주례사,법륜,휴(休),2019-12-27T15:33:36.686+0000
58 ,문학,유토피아,토머스 모어,펭귄클래식코리아(웅진),2019-12-27T15:33:36.686+0000
59 ,문학,관객모독,페터 한트케,민음사,2019-12-27T15:33:36.686+0000
60 ,총류,당신의 꿈은 무엇입니까,김수영,웅진지식하우스,2019-12-27T15:33:36.686+0000
61 ,예술,가난한 연극,예지 그로토프스키,교보문고,2019-12-27T15:33:36.686+0000
62 ,사회과학,"공정 여행, 당신의 휴가는 정의로운가",패멀라 노위카,이후,2019-12-27T15:33:36.686+0000
63 ,문학,빛의 제국,김영하,문학동네,2019-12-27T15:33:36.686+0000
64 ,문학,고래,천명관,문학동네,2019-12-27T15:33:36.686+0000
65 ,문학,고령화 가족,천명관,문학동네,2019-12-27T15:33:36.686+0000
66 ,문학,나의 삼촌 브루스 리,천명관,예담,2019-12-27T15:33:36.686+0000
67 ,철학,오리엔탈리즘,에드워드 W. 사이드,교보문고,2019-12-27T15:33:36.686+0000
68 ,철학,죽음이란 무엇인가,셸리 케이건,엘도라도,2019-12-27T15:33:36.686+0000
69 ,문학,새의 선물,은희경,문학동네,2019-12-27T15:33:36.686+0000
70 ,문학,나를 부르는 숲,빌 브라이슨,동아일보사,2019-12-27T15:33:36.686+0000
71 ,문학,걸리버 여행기,조나단 스위프트,문학수첩,2019-12-27T15:33:36.686+0000
72 ,문학,어린 왕자,생 텍쥐페리,비룡소,2019-12-27T15:33:36.686+0000
73 ,문학,죽은 왕녀를 위한 파반느,박민규,예담,2019-12-27T15:33:36.686+0000
74 ,문학,인연,피천득,샘터사,2019-12-27T15:33:36.686+0000
75 ,문학,발랄한 라라,마광수,평단문화사,2019-12-27T15:33:36.686+0000
76 ,문학,사신 치바,이사카 고타로,웅진지식하우스,2019-12-27T15:33:36.686+0000
77 ,예술,기예르모 델 토로의 창작 노트,"기예르모 델 토로, 마크 스콧 지크리",중앙북스,2019-12-27T15:33:36.686+0000
78 ,예술,레오나르도 다 빈치 노트북,레오나르도 다 빈치,루비박스,2019-12-27T15:33:36.686+0000
79 ,사회과학,의자놀이,공지영,휴머니스트,2019-12-27T15:33:36.686+0000
80 ,문학,"톨스토이 단편선 1, 2",레프 니콜라예비치 톨스토이,인디북(인디아이),2019-12-27T15:33:36.686+0000
